Comments,OverallSentiment
The hotel was completely overcrowded. Lack of  free Wifi in the room,negative
Inadequate amenities,negative
Unpleasant atmosphere,negative
Pleasant atmosphere,positive
Dated atmosphere. Portier does not greet. Heating in the bathroom not working.,negative
Marvellous hotel,positive
Top quality. I was upgraded to a bigger room,positive
The hotel fully met our expectations.,positive
The grounds were very well maintained. Very clean,positive
Atmosphere and service from staff are excellent.,positive
Atmosphere and service of the staff are excellent.,positive
We really enjoyed our stay.,positive
Not centrally located,negative
Value for money isn't that good. Way too expensive.,negative
Long wait times. Staff very rude,negative
 Long wait at the bar,negative
inhospitable atmosphere in the breakfast room,negative
 room not available,negative
The facility is well maintained; They were able to upgrade us,positive
The suites are furnished as expected generous and very nice,positive
Catastrophic check-out. I was charged for extras I hadn't ordered.,negative
room not available,negative
"Excellent, friendly, reliable service",positive
Discomfort caused by tobacco smoke,negative
TV was very old,negative
Great fitness facilities,positive
Super nice and attentive hotel staff.,positive
The place is wonderful. We will be back,positive
"very nice staff, everywhere",positive
Rapid completion of the check in,positive
Uncomplicated check-in and out,positive
"The reception is slow, ineffective and unreliable.",negative
Cleanliness of improvement,negative
Great design.,positive
Luxurious spa area,positive
No newspapers available.,negative
No newspapers.,negative
Perfect price - performance ratio. A real recommendation,positive
A hotel full of perfection and luxury,positive
Had expected more support from staff,negative
"It was a wonderful stay, the service is really good.",positive
"Friendly staff, good service",positive
Good service and friendly staff,positive
Super friendly welcome and extensive breakfast buffet,positive
"Excellent service, very friendly staff.",positive
The service was great then.,positive
The service is excellent. Perfect location,positive
Room service is fast and friendly.,positive
The room service was very quick.,positive
Room service very quickly.,positive
Very clean and good standard!,positive
"Friendly, helpful staff. Very good breakfast!",positive
All our expectations were not only met but exceeded!,positive
The quality and cleanliness of the rooms in line with expectations,positive
I thought that was really great.,positive
Tastefully decorated. Friendly Personnal,positive
Well-equipped.,positive
Outstanding comfort. Great location. Cheap Accommodation.,positive
High prices.,negative
no waiting time at check-in. Everything OK.,positive
No service at the pool,negative
Poor room service on Saturday morning,negative
My wife and I slept well. Perfect pick-up service,positive
no support at reception,negative
Poor support from concierges,negative
Reception was poor. Never again,negative
The staff was overwhelmed,negative
On departure a paid shuttle was ordered,negative
Exceptionally friendly staff. Family-like place,positive
great staff attitude,positive
Complimentary shuttle service,negative
No shuttle.  Soap dispenser not refilled,negative
Shuttle service not free. Arrogant and rude staff at Frontdesk.,negative
The airport pick-up was not working.,negative
"Staying at the hotel was pleasant, ",positive
but unfortunately very impersonal.,negative
The outdoor pool made a dirty impression,negative
"Good pick up service, ",positive
but the bathrooms were unclean.,negative
Problem with reservation. Never again thanks,negative
Unpleasant smell of the toilet and the room also DISTINCT.,negative
No upgrade. Checkout complicated.,negative
"no wifi in the rooms, rooms bad. Never again",negative
Rusty smell in bathroom.,negative
no ventilation in the bathroom. Nasty smell from the sewer,negative
No free beds for our children. No recognition. We were not upgraded,negative
Unpleasant odors; inadequate ventilation,negative
Gorgeous pool area  but the air conditioning in the room was inefficient.,positive
Outstanding courteous staff.,positive
Excellent Services.,positive
Highest class hotel. Very pleasant,positive
Staff very unfriendly.I wouldn't recommend this hotel to my colleagues.,negative
Incompetent Hotel Management. No shuttle,negative
Free newspaper at the door in the morning,positive
Great ! Easy Reservation. Great TV set,positive
A really first-class luxury hotel. Pleasant smell in the room.,positive
We felt comfortable,positive
Everything was perfect. The reception was very friendly and helpful. No noise. Very clean.,positive
The elevator was not working,negative
"Everything was perfect for my wife, me and our 3 children.",positive
Great upgrade. Uncomplicated check out,positive
The air conditioning was not working.,negative
The hotel is badly in need of renovation.,negative
Friendlness,positive
Excellent Price-performance ratio,positive
Great price-performance ratio,positive
Room very small,negative
No TV remote in the room,negative
Equipment is relatively old,negative
Room smelled of cigarette smoke,negative
Everything  was great. I'll definitely come back there.,positive
The finish of a 5 stars hotel lacked completely,negative
The room was very tiny.,negative
The room was relatively small.,negative
no advantage,negative
it was OK,positive
Price performance ratio very good,positive
The air conditioning in the room was inefficient,negative
Street noise,negative
Room up-grade,positive
Musty,negative
Smelly,negative
Poor hygiene in bathroom,negative
Good ventilation,positive
Very overrated.,negative
"Nice bathroom in the rooms, friendly and attentive front desk staff.",positive
The front desk staff was very helpful and friendly!,positive
"Front desk staff very friendly. Happy hour and breakfast very good, staff very helpful.",positive
Front desk staff very helpful and friendly.,positive
Front desk staff was very friendly and helpful!,positive
Front desk staff was very friendly.,positive
Front desk staff were very friendly. Hotel had a very nice and spacious lobby.,positive
"The front desk staff was extremely helpful, professional, and friendly. ",positive
The front desk staff were so friendly and accomdating,positive
The staff were extremely hospitable and accommodating.,positive
Very hospitable staff.,positive
Your staff is extremely friendly and hospitable. The rooms and common areas were spotless.,positive
All personnel encountered helpful and friendly,positive
All staff are exceedingly helpful and friendly,positive
"great hotel,good location, had a great experience!",positive
Great welcoming experience upon our arrival. Very spacious room.,positive
Bar prices were a bit high.,negative
 Everything else was very fine. Excellent hotel staff and outstanding location,positive
Bathroom too dark. High price for a small room.,negative
elevator was  malfunctioning,negative
Elevators malfunction and noisy,negative
Lift was broken,negative
Lifts are too slow.,negative
All employees were both courteous and unobtrusive. ,negative
great staff,positive
Outstanding staff,positive
It was impossible to surf internet,negative
"The bed was uncomfortable, the carpet was dirty",negative
the corridor was too dark,negative
Corridors too dark,negative
hard to find,negative
there was nothing to do,negative
the view was bad,negative
the service was about slowly,negative
no choice for breakfast,negative
there was no internet connection,negative
The meal times were too early,negative
Breakfast costs extra,negative
On evenings there was nothing to do and restaurants were closed.,negative
You have never cleaned my room,negative
The swimming pool was always closed,negative
Breakfast does not take long enough,negative
The bed was not comfortable,negative
TV  was broken,negative
no parking for my bike,negative
too much noise in the evening,negative
There was no soap in the bathroom,negative
no smoking rooms,negative
Heating was too noisy (at night),negative
Ashtray was not emptied,negative
poor room service. Needs remodeling,negative
Juice was not fresh,negative
no hairdryer in the room,negative
Mattress very uncomfortable,negative
Terrible music in the bar,negative
Mirror in bathroom was dirty,negative
Furniture very old-fashioned,negative
not enough Family Room,negative
No Internet access,negative
Hotel website is not very user-friendly,negative
dissatisfied with my room - quite too small,negative
Hotel not centrally located,negative
Bathroom was too small,negative
bad facilities,negative
Small conference rooms,negative
unfriendly waitress,negative
"Bed was too hard. Carpets were torn and smelly. To put it in a nutshell, hotel in bad condition, but staff was friendly",negative
Unfortunately the luggage was misplaced,negative
Parking was too dark,negative
Bar was too expensive,negative
too many children,negative
Sheets were uncomfortable,negative
no chair in room,negative
not possible to arrive by bus,negative
Nice location ,positive
but too far from the train station,negative
Absolutely trouble-free late check-out. Super Service.,positive
The hotel is outdated,negative
Rooms too anonymous. Extras too expensive.,negative
Food is not so good and quite expensive.,negative
Old-fashioned and worn interiors of the rooms.,negative
Access to the pool for a fee,negative
The carpet in the room was stained,negative
All are very friendly and all have been helpful.,positive
"Atmosphere, friendliness",positive
"Service, friendliness, cleanliness",positive
Great service ,positive
but very tired-restoration / renovation urgently needed!,negative
Great services  and reception.,positive
outstanding Breakfast Buffet,positive
perfect location,positive
perfect location,positive
No upgrade.,negative
Cost effective hotel.,positive
a better breakfast,positive
A delightful stay,positive
A grand structure. Excellent value,positive
A great hotel!,positive
A great welcome!,positive
Food was exceelent,positive
food was excellent,positive
Food was excellent,positive
Food was good,positive
Food was good.,positive
Food was great,positive
Food was great,positive
Food was not good.,negative
food was splendid,positive
Food was very good.,positive
price is a bit high,negative
professionalism,positive
prompt service,positive
provide free WiFi,negative
a bit dirty and loud,negative
I enjoyed the chocolate on the pillow ;-),negative
A delightful stay,positive
A friendly and helpful staff.,positive
A grand structure.,positive
A great hotel!,positive
A great welcome!,positive
a lot of noise from next room,negative
Everything was fine.,positive
everything was good,positive
Everything was good!!,positive
everything was great,positive
Everything was great,positive
everything was great,positive
Everything was great!,positive
Everything was great.,positive
Everything was great.,positive
Everything was impeccable.,positive
Everything was outstanding.,positive
everything was perfect,positive
Everything was perfect,positive
Everything was perfect.,positive
Everything was satisfactory.,positive
Everything was terrific,positive
Everything was top notch!,positive
Great service.,positive
Great service.,positive
Great service. Awesome room.,positive
Great service. Great room.,positive
Great services and amenities,positive
great space and nicer rooms,positive
great spot,positive
Great staff,positive
Great staff,positive
Great staff,positive
No slipper in room.,negative
No smoking policy,negative
no spa services on site,negative
No space in the lobby,negative
no suggestions,negative
No taxi or shuttle  available,negative
No tea,negative
"Not the greatest area, ",negative
but  price rather reasonable,positive
no toothbrush or toothpaste.,negative
No welcome fruit,negative
no welcome fruit,negative
room upgrade was nice,positive
room upgrade was unexpected.,positive
Room upgrade!,positive
"Room view, size and design.",positive
room was better than expected,positive
Room was bigger and better.,positive
Room was clean.,positive
Room was dated,positive
room was excellent,positive
Room was exceptional,positive
Room was great!,positive
Room was not as expected,negative
room was not in good shape,negative
room was not very nice,negative
Room was small,negative
Room was  much bigger than expected,positive
"Good location, friendly staff, good food",positive
I didn't get any room upgrade.,negative
bathroom not cleaned after previous guest. Checking in was a nightmare.,negative
"The view from my upgrade room was great. All employees were friendly, from front desk to cleaning staff.",positive
"Comfortable rooms, nice swimming pool.",positive
"A wonderful experience, well-run hotel with excellent staff.",positive
"Good location, friendly staff, good food",positive
"A wonderful experience, well-run hotel with excellent staff.",positive
Very user-friendly experience. Excellent food and staff.,positive
a nice stay.,positive
"Comfortable rooms, nice swimming pool.",positive
We will stay here again. Outstanding staff.,positive
My wife and I had a memorable honeymoon stay.,positive
this hotel is a real pleasure,positive
All employees were exceptionally friendly and helpful.,positive
All staff was helpful and friendly,positive
"The view from my upgrade room was great. All employees were friendly, from front desk to cleaning staff.",positive
All aspects of our stay were great.,positive
upgrade was much appreciated.,positive
bathroom wasn't cleaned after previous guest. Checking in and out was a nightmare.,negative
I didn't get any room upgrade.,negative
All employees were courteous. ,positive
Property was well maintained and very clean. ,positive
Rooms were beautiful and food was great and rather cheap.,positive
good location ,positive
but horrible smell in the corridors; too bad,negative
The sheets were clean ,positive
but the room had a smell and was not clean,negative
We were charged for parking and internet connection.,negative
The hotel shuttle was extremely convenient ,positive
The locatoin was amazing.,positive
"air conditioning wasn't working. When they repaired it, it was to find that it was too noisy.",negative
Loud airco system.,negative
i would have expected room upgrade.,negative
room not ready before 3:30 pm.,negative
"At check-out, staff was quite rude. ",negative
But the rooms were nice and well-decorated.,positive
"great location, fast shuttle service, good food, clean rooms.",positive
no fitness room.,negative
Fitness room wasn't open.,negative
The two restaurants were closed over the week-end and the hotel is too far from the city.,negative
"free internet access, clean rooms, friendly people.",positive
"Excellent staff, great location.",positive
"outlets were not clean, breakfast was too expensive for what was proposed.",negative
My husband and I spent two days in this wonderful hotel; We'll definitely come back.,positive
"My husband and I had a wonderful stay. The restaurnt, sports facilities, location, and room facilities were just great.",positive
Great and cheap restaurant with many local specialties.,positive
My wife and I appreciated the courtesy of staff.,positive
Outstanding location and good shuttle facilities.,positive
My husband and I loved the fitness center.,positive
Stale smells and tiny bathrooms.,negative
The room smelled like smoke.,negative
All my requests were taken care of and I was treated with respect. One of the best hotel experiences I have had.,positive
Not enough personnel at breakfast.,negative
Great help from concierge. Nice amenitites. Excellent food,positive
Fast response in case of any issue,positive
All people are great. ,positive
Slow check in,negative
Check out was very fast. Quality of the room,positive
Long files for check-in; They could have provided more people at reception desk,negative
no wait time at check-in and check-out.,positive
wait time too long at breakfast time.,negative
Short wait times for check-out,negative
Lift takes ages to go to the 4th floor.,negative
staff not always friendly with our kids.,negative
internet should be free,negative
internet should be free of charge,negative
Internet should be free,negative
Internet should be free of charge,negative
had to pay too much for internet access.,negative
wifi didn't work in my room.,negative
I found it was not clean. ,negative
 Helpfulness of the staff and quality of food,positive
very quiet. We had a wonderful stay with my fiancé. I'll definitely return,positive
Unit was spacious and well-equipped.  Good location - good access to the area. Very quiet and good neighborhood.,positive
$8.99 is too much to pay for internet access.,negative
"Very comfortable bed, excellent restaurant and very prompt  cleaning service.",positive
Friendliness of the staffs.,positive
 cost effective.,positive
Average Hotel,negative
Average hotel,negative
"Average hotel, the location is the only good point",negative
average quality,negative
Average services ,negative
"awesome facilities, friendly people.",positive
"bad check in experience and was informed paid room upgrade is only available, otherwise non in available not even to the next category!",negative
Bad experience with the service.,negative
"Bad food, Poor service",negative
"Bad internet facilities, low water pressure in shower",negative
bad service,negative
bad experience,negative
Check in was extremely helpful ,positive
Check in was fast and friendly.  ,positive
Check in was fast. Service was good.,positive
"comfortable rooms, beautiful grounds",positive
"Comfortable rooms, excellent service, convenient location.",positive
"Comfortable rooms, friendly staff",positive
"Comfortable rooms, great stores and restaurants",positive
"Comfortable rooms, stylish, free wireless.",positive
loved the atmosphere and staff,positive
Loved the bathroom,positive
Loved the bathrooms!,positive
loved the beach chairs,positive
Loved the beach.  Room was immaculate.  Good exercise room,positive
Loved the bed,positive
Loved the bed and pillows.,positive
Loved the bed and the shower and the overall design of the hotel and room. It made me feel so elegant to stay here!,positive
Loved the bed and the shower; water pressure was amazing!!,positive
Loved the bed!,positive
Loved the bed!!!! ,positive
"Loved the bed, very comfortable!",positive
Loved the bed.,positive
Loved the bed.  Rooms were spacious and clean ,positive
but not well lit enough.,negative
Loved the bedding,positive
"Loved the bedding, very comfy. The room was clean and quiet",positive
loved the beds and bedding,positive
Loved the beds!,positive
Loved the beds!,positive
The staff is very friendly and helpful,positive
The staff is very friendly,positive
The staff is very friendly and so helpful.,positive
The staff is very friendly and the breakfast is very good with a great selection.,positive
the staff is very friendly and welcoming,positive
"The staff is very friendly, helpful and professional",positive
The staff is very friendly.,positive
The staff is very helpful and friendly.  ,positive
The staff is very helpul there & the location is very nice,positive
The staff is very knowledgeable and helpful!,positive
The staff is very pleasant and accommodating.,positive
Your staff was outstanding!,positive
"Your Staff was Outstanding. All aspects were just great. Housekeeping, Front desk, Bar staff, maintenance, and Club staff!!! Great Job.",positive
"Your staff was superb.  Friendly, helpful.",positive
Your treatment of guests is outstanding.,positive
Your upgrade was very nice,positive
Your valet was just the best ever,positive
"wireless access in the lobby  VERY, VERY poor. ",negative
"Your wonderful, welcoming staff.",positive
slippery floor. My 89 years old mom fell and broke her leg. ,negative
"yummy breakfast, nice soft comfy beds , very friendly staff , room service always quick",positive
room was tiny.,negative
zero acknowledgement of member status. ,negative
checkin was awful. They had lost our reservation.,negative
I had booked thru internet for 2 rooms: one for me and my husband and another one for our 3 children and they lost our reservation.,negative
will never come back.,negative
"avoid this hotel. It's noisy, dirty, expensive and staff is extremely arrogant",negative
"Great hotel, yummy breakfast, nice soft comfy beds , very friendly staff , room service always quick",positive
bad smell in the bathroom,negative
smelly bathroom,negative
i couldn't recommend your hotel to anyone.,negative
was disappointed by my last stay in this hotel. Rooms were small and breakfast above average and expenseive.,negative
Clean room and bed sheet,positive
Clean room and nice fitness facility,positive
Clean room convienient check in,positive
clean room ready early.  Friendly staff.  Great location,positive
"Clean room with comfortable beds.  The staff was very friendly.  Nice complimentary breakfast	/happy hour.",positive
Clean room with very nice amendities,positive
Clean rooms and staff was very attentive.,positive
clean rooms comfy bed!!!,positive
clean rooms nice people,positive
"Clean rooms, comfy beds, great service, nice employees.",positive
"Clean rooms, friendly and helpful staff.",positive
Coffee unavailable in lobby,negative
staff not attending coffee bar,negative
no sound proofing in the rooms,negative
Bad soundproofing,negative
Not soundproofed,negative
The decor and surroundings of the hotel are luxurious,positive

